,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,label_rural,label_suburban,label_urban,coordinates,closest_water,group_C,group_E,group_N,group_NE,group_NW,group_S,group_SE,group_SW,group_W
0,7129300520,10/13/2014,221900,3,1,1180,5650,1,,NONE,Average,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,0,1,0,"(47.5112, -122.257)",0.680220007,0,0,0,0,0,0,0,0,1
1,6414100192,12/9/2014,538000,3,2.25,2570,7242,2,NO,NONE,Average,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,0,0,1,"(47.721, -122.319)",2.915717631,0,0,0,0,1,0,0,0,0
2,5631500400,2/25/2015,180000,2,1,770,10000,1,NO,NONE,Average,6,770,0,1933,,98028,47.7379,-122.233,2720,8062,0,1,0,"(47.7379, -122.233)",2.331580519,0,0,0,0,1,0,0,0,0
3,2487200875,12/9/2014,604000,4,3,1960,5000,1,NO,NONE,Very Good,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,0,0,1,"(47.5208, -122.393)",0.466960347,0,0,0,0,0,0,0,0,1
4,1954400510,2/18/2015,510000,3,2,1680,8080,1,NO,NONE,Average,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,0,1,0,"(47.6168, -122.045)",1.72995676,0,0,1,0,0,0,0,0,0
6,1321400060,6/27/2014,257500,3,2.25,1715,6819,2,NO,NONE,Average,7,1715,?,1995,0,98003,47.3097,-122.327,2238,6819,0,1,0,"(47.4095, -122.315)",4.255350548,0,0,0,0,0,0,0,1,0
7,2008000270,1/15/2015,291850,3,1.5,1060,9711,1,NO,,Average,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,0,1,0,"(47.5123, -122.337)",2.519963185,0,0,0,0,0,0,0,0,1
8,2414600126,4/15/2015,229500,3,1,1780,7470,1,NO,NONE,Average,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,0,1,0,"(47.3684, -122.031)",3.381919031,0,0,0,0,0,0,0,0,1
9,3793500160,3/12/2015,323000,3,2.5,1890,6560,2,NO,NONE,Average,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,0,1,0,"(47.6007, -122.145)",20.69365387,1,0,0,0,0,0,0,0,0
10,1736800520,4/3/2015,662500,3,2.5,3560,9796,1,,NONE,Average,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,0,1,0,"(47.69, -122.292)",2.511823197,0,0,0,0,1,0,0,0,0
11,9212900260,5/27/2014,468000,2,1,1160,6000,1,NO,NONE,Good,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,0,0,1,"(47.7558, -122.229)",1.621137868,0,0,0,0,1,0,0,0,0
12,114101516,5/28/2014,310000,3,1,1430,19901,1.5,NO,NONE,Good,7,1430,0,1927,,98028,47.7558,-122.229,1780,12697,0,1,0,"(47.6127, -122.045)",2.898420668,0,0,0,0,1,0,0,0,0
13,6054650070,10/7/2014,400000,3,1.75,1370,9680,1,NO,NONE,Good,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,0,1,0,"(47.67, -122.394)",1.774852184,0,0,1,0,0,0,0,0,0
14,1175000570,3/12/2015,530000,5,2,1810,4850,1.5,NO,NONE,Average,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,0,0,1,"(47.5714, -122.375)",1.65223944,0,0,0,0,1,0,0,0,0
15,9297300055,1/24/2015,650000,4,3,2950,5000,2,NO,GOOD,Average,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,0,0,1,"(47.7277, -121.962)",2.482061381,0,0,0,0,1,0,0,0,0
16,1875500060,7/31/2014,395000,3,2,1890,14040,2,NO,NONE,Average,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,1,0,0,"(47.6648, -122.343)",12.97845377,0,0,1,0,0,0,0,0,0
17,6865200140,5/29/2014,485000,4,1,1600,4300,1.5,NO,NONE,Good,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,0,0,1,"(47.3089, -122.21)",5.173557593,0,0,0,0,1,0,0,0,0
18,16000397,12/5/2014,189000,2,1,1200,9850,1,NO,NONE,Good,7,1200,?,1921,0,98002,47.3089,-122.21,1060,5095,0,1,0,"(47.3343, -122.306)",9.734332736,0,0,0,0,0,0,0,1,0
19,7983200060,4/24/2015,230000,3,1,1250,9774,1,NO,NONE,Good,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,0,1,0,"(47.7025, -122.341)",2.248645054,0,0,0,0,0,0,0,0,1
20,6300500875,5/14/2014,385000,4,1.75,1620,4980,1,NO,NONE,Good,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,0,0,1,"(47.5316, -122.233)",4.926646107,0,0,0,0,1,0,0,0,0
21,2524049179,8/26/2014,2000000,3,2.75,3050,44867,1,NO,EXCELLENT,Average,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336,0,1,0,"(47.3266, -122.169)",0.832783878,0,0,0,0,0,0,0,0,1
22,7137970340,7/3/2014,285000,5,2.5,2270,6300,2,NO,NONE,Average,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,0,1,0,"(47.3533, -122.166)",11.94783554,0,0,0,0,0,0,0,1,0
23,8091400200,5/16/2014,252700,2,1.5,1070,9643,1,,NONE,Average,7,1070,0,1985,,98030,47.3533,-122.166,1220,8386,0,1,0,"(47.3739, -122.172)",11.86184826,0,0,0,0,0,0,0,0,1
